Country,State,Year,"Profit Or Loss Amount (UOM:INR(IndianRupees)), Scaling Factor:100000","Non Performing Assets (Npas) As Percentage Of Loans Outstanding (UOM:%(Percentage)), Scaling Factor:1","Recovery To Demand  (UOM:%(Percentage)), Scaling Factor:1"
India,Rajasthan,"Financial Year (Apr - Mar), 2016",4180,1.1,99.7
India,Sikkim,"Financial Year (Apr - Mar), 2016",220,6.1,79
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016",4370,1.3,99.6
India,Telangana,"Financial Year (Apr - Mar), 2016",2660,0.4,77.1
India,Tripura,"Financial Year (Apr - Mar), 2016",1200,3.2,81.5
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016",3280,5.7,95.5
India,Uttarakhand,"Financial Year (Apr - Mar), 2016",710,2.5,97.4
India,West Bengal,"Financial Year (Apr - Mar), 2016",120,5.1,84.5
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2015",510,21.9,64.1
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2015",3310,0.4,91.1
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2015",20,67.2,0
India,Assam,"Financial Year (Apr - Mar), 2015",270,11.1,37.4
India,Bihar,"Financial Year (Apr - Mar), 2015",3600,10.3,37
India,Chandigarh,"Financial Year (Apr - Mar), 2015",430,4,77.1
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",2150,3.8,85.7
India,Delhi,"Financial Year (Apr - Mar), 2015",-1260,5.3,93.9
India,Goa,"Financial Year (Apr - Mar), 2015",-760,9.5,89.2
India,Gujarat,"Financial Year (Apr - Mar), 2015",1810,2.5,98.5
India,Haryana,"Financial Year (Apr - Mar), 2015",2380,0,99.5
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2015",5390,6.6,80.9
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2015",254.3129836,19.1,55.6
India,Jharkhand,"Financial Year (Apr - Mar), 2015",-510,28.2,16.2
India,Karnataka,"Financial Year (Apr - Mar), 2015",3150,3.3,96.5
India,Kerala,"Financial Year (Apr - Mar), 2015",1280,15.6,84.7
India,Ladakh,"Financial Year (Apr - Mar), 2015",5.687016387,19.1,55.6
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2015",5610,4.2,95.1
India,Maharashtra,"Financial Year (Apr - Mar), 2015",24290,9.3,82.8
India,Manipur,"Financial Year (Apr - Mar), 2015",-7360,90.5,11.5
India,Meghalaya,"Financial Year (Apr - Mar), 2015",250,7.8,32.8
India,Mizoram,"Financial Year (Apr - Mar), 2015",880,10.9,78.8
India,Nagaland,"Financial Year (Apr - Mar), 2015",220,13.5,71.1
India,Odisha,"Financial Year (Apr - Mar), 2015",1670,2.4,88.2
India,Puducherry,"Financial Year (Apr - Mar), 2015",-1510,5.9,85.4
India,Punjab,"Financial Year (Apr - Mar), 2015",1250,0.9,99.6
India,Rajasthan,"Financial Year (Apr - Mar), 2015",2190,0.3,99.5
India,Sikkim,"Financial Year (Apr - Mar), 2015",210,4.2,83.6
India,Tamil Nadu,"Financial Year (Apr - Mar), 2015",4330,3.1,98.8
India,Telangana,"Financial Year (Apr - Mar), 2015",2780,0,82.8
India,Tripura,"Financial Year (Apr - Mar), 2015",440,3.5,80.2
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2015",2010,4.2,96.6
India,Uttarakhand,"Financial Year (Apr - Mar), 2015",700,2.5,97.7
India,West Bengal,"Financial Year (Apr - Mar), 2015",60,7.3,84.5
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2014",440,21.7,57.6
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",7750,2.7,95.6
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2014",50,70.8,10.3
India,Assam,"Financial Year (Apr - Mar), 2014",770,11.2,22.9
India,Bihar,"Financial Year (Apr - Mar), 2014",3940,12.2,64.7
India,Chandigarh,"Financial Year (Apr - Mar), 2014",500,4.2,72.7
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",1990,4.4,94.5
India,Delhi,"Financial Year (Apr - Mar), 2014",780,0.1,91.5
India,Goa,"Financial Year (Apr - Mar), 2014",-810,11.3,74.2
India,Gujarat,"Financial Year (Apr - Mar), 2014",4460,2.4,98.5
India,Haryana,"Financial Year (Apr - Mar), 2014",1620,8.6,99.9
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2014",5990,19.6,78.7
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2014",244.531715,6.4,55.8
India,Jharkhand,"Financial Year (Apr - Mar), 2014",-450,35.3,6.3
India,Karnataka,"Financial Year (Apr - Mar), 2014",3030,3.8,97.9
India,Kerala,"Financial Year (Apr - Mar), 2014",4650,16,86
India,Ladakh,"Financial Year (Apr - Mar), 2014",5.468284988,6.4,55.8
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2014",7410,1.4,95.2
India,Maharashtra,"Financial Year (Apr - Mar), 2014",41060,11.7,92
India,Manipur,"Financial Year (Apr - Mar), 2014",-640,95.8,13.1
India,Meghalaya,"Financial Year (Apr - Mar), 2014",950,8.2,26.1
India,Mizoram,"Financial Year (Apr - Mar), 2014",390,11.5,50.6
India,Nagaland,"Financial Year (Apr - Mar), 2014",60,16.2,65.2
India,Odisha,"Financial Year (Apr - Mar), 2014",1560,2.9,100
India,Puducherry,"Financial Year (Apr - Mar), 2014",-590,9.8,51.1
India,Punjab,"Financial Year (Apr - Mar), 2014",2130,0.8,97.4
India,Rajasthan,"Financial Year (Apr - Mar), 2014",2630,0.3,99.8
India,Sikkim,"Financial Year (Apr - Mar), 2014",270,5.8,26.9
India,Tamil Nadu,"Financial Year (Apr - Mar), 2014",4140,4.7,93.2
India,Telangana,"Financial Year (Apr - Mar), 2014",,,
India,Tripura,"Financial Year (Apr - Mar), 2014",2800,3.5,84.6
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2014",4040,4.8,95.2
India,Uttarakhand,"Financial Year (Apr - Mar), 2014",920,2.9,94.8
India,West Bengal,"Financial Year (Apr - Mar), 2014",6110,7.9,62.3
